timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,grpThreads,allThreads,URL,Filename,Latency,Encoding,SampleCount,ErrorCount,Hostname,IdleTime,Connect
1493118629178,60045,TCP_Report_ICall_HB_TextPush,500,org.apache.jmeter.protocol.tcp.sampler.ReadException: ,线程组 2-69,text,true,,40,1000,1000,null,,0,UTF-8,1,0,testcrm.localdomain,0,0
1493118629306,60018,TCP_Report_ICall_HB_TextPush,500,org.apache.jmeter.protocol.tcp.sampler.ReadException: ,线程组 2-71,text,true,,40,1000,1000,null,,0,UTF-8,1,0,testcrm.localdomain,0,0
1493118629289,60066,TCP_Report_ICall_HB_TextPush,500,org.apache.jmeter.protocol.tcp.sampler.ReadException: ,线程组 2-70,text,true,,40,1000,1000,null,,0,UTF-8,1,0,testcrm.localdomain,0,0
1493118629405,60072,TCP_Report_ICall_HB_TextPush,500,org.apache.jmeter.protocol.tcp.sampler.ReadException: ,线程组 2-72,text,true,,40,1000,1000,null,,0,UTF-8,1,0,testcrm.localdomain,0,0
1493118629444,60069,TCP_Report_ICall_HB_TextPush,500,org.apache.jmeter.protocol.tcp.sampler.ReadException: ,线程组 2-73,text,true,,40,1000,1000,null,,0,UTF-8,1,0,testcrm.localdomain,0,0
1493118629522,60083,TCP_Report_ICall_HB_TextPush,500,org.apache.jmeter.protocol.tcp.sampler.ReadException: ,线程组 2-74,text,true,,40,1000,1000,null,,0,UTF-8,1,0,testcrm.localdomain,0,0
1493118629574,60076,TCP_Report_ICall_HB_TextPush,500,org.apache.jmeter.protocol.tcp.sampler.ReadException: ,线程组 2-75,text,true,,40,1000,1000,null,,0,UTF-8,1,0,testcrm.localdomain,0,0
1493118629640,60063,TCP_Report_ICall_HB_TextPush,500,org.apache.jmeter.protocol.tcp.sampler.ReadException: ,线程组 2-76,text,true,,40,1000,1000,null,,0,UTF-8,1,0,testcrm.localdomain,0,0
1493118629670,60065,TCP_Report_ICall_HB_TextPush,500,org.apache.jmeter.protocol.tcp.sampler.ReadException: ,线程组 2-77,text,true,,40,1000,1000,null,,0,UTF-8,1,0,testcrm.localdomain,0,0
1493118629712,60072,TCP_Report_ICall_HB_TextPush,500,org.apache.jmeter.protocol.tcp.sampler.ReadException: ,线程组 2-78,text,true,,40,1000,1000,null,,0,UTF-8,1,0,testcrm.localdomain,0,0
1493118629807,60069,TCP_Report_ICall_HB_TextPush,500,org.apache.jmeter.protocol.tcp.sampler.ReadException: ,线程组 2-80,text,true,,40,1000,1000,null,,0,UTF-8,1,0,testcrm.localdomain,0,0
1493118629864,60064,TCP_Report_ICall_HB_TextPush,500,org.apache.jmeter.protocol.tcp.sampler.ReadException: ,线程组 2-79,text,true,,40,1000,1000,null,,0,UTF-8,1,0,testcrm.localdomain,0,0
1493118629907,60091,TCP_Report_ICall_HB_TextPush,500,org.apache.jmeter.protocol.tcp.sampler.ReadException: ,线程组 2-81,text,true,,40,1000,1000,null,,0,UTF-8,1,0,testcrm.localdomain,0,0
1493118630049,60078,TCP_Report_ICall_HB_TextPush,500,org.apache.jmeter.protocol.tcp.sampler.ReadException: ,线程组 2-82,text,true,,40,1000,1000,null,,0,UTF-8,1,0,testcrm.localdomain,0,0
1493118630108,60019,TCP_Report_ICall_HB_TextPush,500,org.apache.jmeter.protocol.tcp.sampler.ReadException: ,线程组 2-84,text,true,,40,1000,1000,null,,0,UTF-8,1,0,testcrm.localdomain,0,0
1493118630120,60084,TCP_Report_ICall_HB_TextPush,500,org.apache.jmeter.protocol.tcp.sampler.ReadException: ,线程组 2-83,text,true,,40,1000,1000,null,,0,UTF-8,1,0,testcrm.localdomain,0,0
1493118630204,60076,TCP_Report_ICall_HB_TextPush,500,org.apache.jmeter.protocol.tcp.sampler.ReadException: ,线程组 2-85,text,true,,40,1000,1000,null,,0,UTF-8,1,0,testcrm.localdomain,0,0
1493118630223,60073,TCP_Report_ICall_HB_TextPush,500,org.apache.jmeter.protocol.tcp.sampler.ReadException: ,线程组 2-86,text,true,,40,1000,1000,null,,0,UTF-8,1,0,testcrm.localdomain,0,0
1493118630349,60013,TCP_Report_ICall_HB_TextPush,500,org.apache.jmeter.protocol.tcp.sampler.ReadException: ,线程组 2-88,text,true,,40,1000,1000,null,,0,UTF-8,1,0,testcrm.localdomain,0,0
1493118630301,60071,TCP_Report_ICall_HB_TextPush,500,org.apache.jmeter.protocol.tcp.sampler.ReadException: ,线程组 2-87,text,true,,40,1000,1000,null,,0,UTF-8,1,0,testcrm.localdomain,0,0
1493118630454,60077,TCP_Report_ICall_HB_TextPush,500,org.apache.jmeter.protocol.tcp.sampler.ReadException: ,线程组 2-89,text,true,,40,1000,1000,null,,0,UTF-8,1,0,testcrm.localdomain,0,0
1493118630578,60053,TCP_Report_ICall_HB_TextPush,500,org.apache.jmeter.protocol.tcp.sampler.ReadException: ,线程组 2-91,text,true,,40,1000,1000,null,,0,UTF-8,1,0,testcrm.localdomain,0,0
1493118630574,60063,TCP_Report_ICall_HB_TextPush,500,org.apache.jmeter.protocol.tcp.sampler.ReadException: ,线程组 2-90,text,true,,40,1000,1000,null,,0,UTF-8,1,0,testcrm.localdomain,0,0
1493118630656,60064,TCP_Report_ICall_HB_TextPush,500,org.apache.jmeter.protocol.tcp.sampler.ReadException: ,线程组 2-92,text,true,,40,1000,1000,null,,0,UTF-8,1,0,testcrm.localdomain,0,0
1493118630703,60066,TCP_Report_ICall_HB_TextPush,500,org.apache.jmeter.protocol.tcp.sampler.ReadException: ,线程组 2-93,text,true,,40,1000,1000,null,,0,UTF-8,1,0,testcrm.localdomain,0,0
1493118630748,60034,TCP_Report_ICall_HB_TextPush,500,org.apache.jmeter.protocol.tcp.sampler.ReadException: ,线程组 2-94,text,true,,40,1000,1000,null,,0,UTF-8,1,0,testcrm.localdomain,0,0
1493118630844,60083,TCP_Report_ICall_HB_TextPush,500,org.apache.jmeter.protocol.tcp.sampler.ReadException: ,线程组 2-95,text,true,,40,1000,1000,null,,0,UTF-8,1,0,testcrm.localdomain,0,0
1493118630998,60056,TCP_Report_ICall_HB_TextPush,500,org.apache.jmeter.protocol.tcp.sampler.ReadException: ,线程组 2-97,text,true,,40,1000,1000,null,,0,UTF-8,1,0,testcrm.localdomain,0,0
1493118631002,60094,TCP_Report_ICall_HB_TextPush,500,org.apache.jmeter.protocol.tcp.sampler.ReadException: ,线程组 2-96,text,true,,40,1000,1000,null,,0,UTF-8,1,0,testcrm.localdomain,0,0
1493118631126,60057,TCP_Report_ICall_HB_TextPush,500,org.apache.jmeter.protocol.tcp.sampler.ReadException: ,线程组 2-98,text,true,,40,1000,1000,null,,0,UTF-8,1,0,testcrm.localdomain,0,0
1493118631165,60068,TCP_Report_ICall_HB_TextPush,500,org.apache.jmeter.protocol.tcp.sampler.ReadException: ,线程组 2-99,text,true,,40,1000,1000,null,,0,UTF-8,1,0,testcrm.localdomain,0,0
1493118631284,60090,TCP_Report_ICall_HB_TextPush,500,org.apache.jmeter.protocol.tcp.sampler.ReadException: ,线程组 2-101,text,true,,40,1000,1000,null,,0,UTF-8,1,0,testcrm.localdomain,0,0
1493118631370,60067,TCP_Report_ICall_HB_TextPush,500,org.apache.jmeter.protocol.tcp.sampler.ReadException: ,线程组 2-100,text,true,,40,1000,1000,null,,0,UTF-8,1,0,testcrm.localdomain,0,0
1493118631404,60115,TCP_Report_ICall_HB_TextPush,500,org.apache.jmeter.protocol.tcp.sampler.ReadException: ,线程组 2-104,text,true,,40,1000,1000,null,,0,UTF-8,1,0,testcrm.localdomain,0,0
1493118631374,60145,TCP_Report_ICall_HB_TextPush,500,org.apache.jmeter.protocol.tcp.sampler.ReadException: ,线程组 2-103,text,true,,40,1000,1000,null,,0,UTF-8,1,0,testcrm.localdomain,0,0
1493118631385,60175,TCP_Report_ICall_HB_TextPush,500,org.apache.jmeter.protocol.tcp.sampler.ReadException: ,线程组 2-102,text,true,,40,1000,1000,null,,0,UTF-8,1,0,testcrm.localdomain,0,0
1493118631462,60104,TCP_Report_ICall_HB_TextPush,500,org.apache.jmeter.protocol.tcp.sampler.ReadException: ,线程组 2-105,text,true,,40,1000,1000,null,,0,UTF-8,1,0,testcrm.localdomain,0,0
1493118631514,60091,TCP_Report_ICall_HB_TextPush,500,org.apache.jmeter.protocol.tcp.sampler.ReadException: ,线程组 2-106,text,true,,40,1000,1000,null,,0,UTF-8,1,0,testcrm.localdomain,0,0
1493118631584,60078,TCP_Report_ICall_HB_TextPush,500,org.apache.jmeter.protocol.tcp.sampler.ReadException: ,线程组 2-107,text,true,,40,1000,1000,null,,0,UTF-8,1,0,testcrm.localdomain,0,0
1493118631639,60023,TCP_Report_ICall_HB_TextPush,500,org.apache.jmeter.protocol.tcp.sampler.ReadException: ,线程组 2-108,text,true,,40,1000,1000,null,,0,UTF-8,1,0,testcrm.localdomain,0,0
1493118631655,60072,TCP_Report_ICall_HB_TextPush,500,org.apache.jmeter.protocol.tcp.sampler.ReadException: ,线程组 2-109,text,true,,40,1000,1000,null,,0,UTF-8,1,0,testcrm.localdomain,0,0
1493118631690,60073,TCP_Report_ICall_HB_TextPush,500,org.apache.jmeter.protocol.tcp.sampler.ReadException: ,线程组 2-110,text,true,,40,1000,1000,null,,0,UTF-8,1,0,testcrm.localdomain,0,0
1493118631771,60075,TCP_Report_ICall_HB_TextPush,500,org.apache.jmeter.protocol.tcp.sampler.ReadException: ,线程组 2-111,text,true,,40,1000,1000,null,,0,UTF-8,1,0,testcrm.localdomain,0,0
1493118631817,60067,TCP_Report_ICall_HB_TextPush,500,org.apache.jmeter.protocol.tcp.sampler.ReadException: ,线程组 2-112,text,true,,40,1000,1000,null,,0,UTF-8,1,0,testcrm.localdomain,0,0
